Name,Category,Website
Agoric,Smart Contracts,<https://agoric.com/>
Akash Network,Microservice,<https://akash.network/>
Aleph.im,Infrastructure,<https://aleph.im/>
Althea,Social Impact,<https://althea.net/>
AMO,Marketplace,<https://www.amo.foundation/>
Ankr,Microservice,<https://www.ankr.com/>
Anoma,Privacy,<https://anoma.net/>
Archway,Infrastructure,<https://archway.io/>
Arcology Network,Smart Contracts,
Artery Network,Microservice,
Astrovault,DEX,
Band Protocol,Marketplace,<https://bandprotocol.com/>
BiDAO,Finance,<https://www.bidaochain.com/>
Binance Chain,DEX,<https://www.binance.org/>
Binance Smart Chain,Finance,<https://www.binance.org/en/smartChain>
BitCanna,Social Impact,<https://www.bitcanna.io/>
BitSong,Social,<https://www.bitsong.io/>
Bluzelle,Infrastructure,<https://bluzelle.com/>
Bondino,Finance,
BTU,Social,<https://www.btu-protocol.com/>
Bytom,Infrastructure,<https://bytom.io/>
c,Infrastructure,
C-Osmosis,Finance,
Carbon,Finance,<https://www.carbon.money/>
Cardchain,Games,
Carnot,Infrastructure,
Celer,Infrastructure,<https://www.celer.network/>w
Centaur,Finance,<https://www.centaurify.com/>
CHAI,Finance,<https://chai.finance/>
Chain4Energy,Infrastructure,
Chainpoint,Productivity,<https://chainpoint.org/>
Chihuahua,Social,<https://www.chihuahua.wtf/>
Clawback Account,Infrastructure,
CodeChain,Infrastructure,<https://codechain.io/>
Coinex Decentralized Exchange,Finance,<https://www.coinex.org/>
Coinhall,Finance,<https://coinhall.org/>
CoinSwap,Finance,
COMDEX,Finance,<https://comdex.one/>
Commercio Network,Infrastructure,<https://www.commercio.network/>
Cosmons,Games,
Cosmos Gaming Hub (formerly MOLD),Games,
Cosmos Hub,Infrastructure,<https://cosmos.network/>
Cosmwasm,Smart Contracts,<https://www.cosmwasm.com/>
Credible,Social Impact,
Crescent Network,DEX,
Cross Chain Crawler,Infrastructure,
Crypto.com,DEX,<https://crypto.com/>
Cyber,Social,<https://cyber.page/>
CyberMiles,Infrastructure,<https://www.cybermiles.io/>
Dash Evolution,Finance,<https://www.dash.org/>
Datopia,Infrastructure,
Dawn Protocol,Games,
dDex,Finance,
De.Fi,Finance,
Decentr,Infrastructure,<https://decentr.net/>
Decentralized Identifiers (DID),Privacy,
Decimal,Finance,<https://decimalchain.com/>
Demex,Finance,<https://dem.exchange/>
Desmos Network,Social,<https://www.desmos.network/>
Dessert,Uncategorized,
DeTicket,Marketplace,
Dfinance,Finance,<https://www.dfinance.co/>
Diamond DEX,Finance,
Didcomauth,Infrastructure,
Dither,Social,
Dm-ledger,Privacy,
DREP Chain,Infrastructure,<https://www.drep.org/>
Dropil Chain,Finance,<https://dropil.com/>
DTFN Protocol,Enterprise,
e-Money,Finance,<https://www.e-money.com/>
Eco,Finance,<https://www.eco.com/>
Electionr,Enterprise,
Electron,Finance,
Epc Chain,Marketplace,
Ercoin,Infrastructure,
Eurastex | IPO,Infrastructure,
EVERETT,Finance,
Evmos,Smart Contracts,<https://www.evmos.org/>
Expload,Games,<https://expload.com/>
FBchain,Social,
Finding-imposter,Social Impact,
FirmaChain,Productivity,<https://www.firmachain.org/>
Flares,Finance,
FOAM,Infrastructure,<https://www.foam.space/>
Frontier,Infrastructure,
GateChain DEX,Finance,<https://www.gatechain.io/>
Gravity Bridge,Infrastructure,
Gravity Dex,Finance,
Hard Protocol,Finance,<https://hard.kava.io/>
Hashgard,Finance,<https://www.hashgard.io/>
HDEX,Finance,
Herb,Infrastructure,
HIBLOCKS,Social,<https://www.hiblocks.io/>
HoneyWood,Games,
HTDF,Uncategorized,
HyperLedger Burrow,Smart Contracts,<https://www.hyperledger.org/use/burrow>
Hyprr,Marketplace,<https://www.hyprr.com/>
Idena,Infrastructure,<https://idena.io/>
Identity,Privacy,
IDEP Network,Infrastructure,
Impact Data Consortium Chain,Social Impact,
Infinite Chain,Infrastructure,
Injective Protocol,Finance,<https://injectiveprotocol.com/>
Inter Charity Blockchain,Social Impact,
IRIS Hub,Infrastructure,<https://www.irisnet.org/>
IRITA Hub,Infrastructure,
ixo,Social Impact,<https://ixo.world/>
Jackal Protocol,Infrastructure,
Jackal Protocol,Infrastructure,
Juno Network,Smart Contracts,<https://www.junonetwork.io/>
Kadenamint,Smart Contracts,
Kash,Finance,
Katzenmint,Privacy,
Kava,Finance,<https://www.kava.io/>
KI,Finance,<https://foundation.ki/>
Kira Interchain Exchange,Finance,<https://kira.network/>
Klever Cash,Finance,
Koala,Social,
Konstellation,Finance,<https://konstellation.tech/>
Kvartalo Chain,Uncategorized,
KYVE,Infrastructure,<https://kyve.network/>
Lambda,Infrastructure,<https://www.lambda.im/>
LeapDAO,Infrastructure,<https://leapdao.org/>
Left Gallery Registry,Marketplace,
LightStreams,Privacy,<https://lightstreams.network/>
LikeCoin,Infrastructure,<https://like.co/>
Liqui3d,Finance,
Loop Finance,Finance,<https://loop.finance/>
Lottery Cosmoschain,Microservice,
LOUD (Legend of the Undead Dragon),Games,
MakeOS,Infrastructure,<https://makeos.org/>
Maxonrow,Enterprise,<https://www.maxonrow.com/>
